scenario_id,scenario_name,work_role,work_role_name,category,covered_techniques,total_techniques,technique_coverage,covered_tasks,total_candidate_tasks,task_coverage,mean_mapping_score,max_mapping_score,mean_technique_similarity,mean_tactic_similarity,mean_mitigation_similarity,semantic_evidence,role_score,role_score_norm,score_column_used
RANSOMWARE,Ransomware,IN-WRL-001,"Responsible for investigating cyberspace intrusion incidents and crimes. Applies tactics, techniques, and procedures for a full range of investigative tools and processes and appropriately balances the benefits of prosecution versus intelligence gathering.",IN,45,86,0.5232558139534884,5,148,0.033783783783783786,0.3883955555555555,0.4985,0.3902931034482759,0.3606672413793104,0.3587822222222222,0.20323023255813952,0.3952455813953488,0.652258478505155,similarity_score
RANSOMWARE,Ransomware,OG-WRL-003,"Responsible for developing cybersecurity workforce plans, assessments, strategies, and guidance, including cybersecurity-related staff training, education, and hiring processes. Makes adjustments in response to or in anticipation of changes to cybersecurity-related policy, technology, and staffing needs and requirements.Authors mandated workforce planning strategies to maintain compliance with legislation, regulation, and policy.",OG,43,86,0.5,5,148,0.033783783783783786,0.3864139534883721,0.513,0.3876575,0.38248125,0.35782096774193545,0.19320697674418605,0.3772827906976744,0.6226151805616108,similarity_score
RANSOMWARE,Ransomware,OG-WRL-002,"Responsible for developing and maintaining cybersecurity plans, strategy, and policy to support and align with organizational cybersecurity initiatives and regulatory compliance.",OG,43,86,0.5,4,148,0.02702702702702703,0.3863627906976745,0.513,0.38765324675324675,0.38355844155844154,0.35904237288135593,0.19318139534883724,0.37727255813953486,0.6225982941671323,similarity_score
RANSOMWARE,Ransomware,OG-WRL-009,"Responsible for planning, estimating costs, budgeting, developing, implementing, and managing product support strategies in order to field and maintain the readiness and operational capability of systems and components.",OG,43,86,0.5,4,148,0.02702702702702703,0.38598139534883724,0.513,0.38743636363636363,0.3833779220779221,0.35654137931034485,0.19299069767441862,0.37719627906976744,0.6224724137719293,similarity_score
RANSOMWARE,Ransomware,OG-WRL-010,"Responsible for leading, coordinating, and the overall success of a defined program. Includes communicating about the program and ensuring alignment with agency or organizational priorities.",OG,43,86,0.5,4,148,0.02702702702702703,0.38598139534883724,0.513,0.38743636363636363,0.3833779220779221,0.35654137931034485,0.19299069767441862,0.37719627906976744,0.6224724137719293,similarity_score
RANSOMWARE,Ransomware,OG-WRL-011,"Responsible for overseeing and directly managing technology projects. Ensures cybersecurity is built into projects to protect the organization’s critical infrastructure and assets, reduce risk, and meet organizational goals. Tracks and communicates project status and demonstrates project value to the organization.",OG,43,86,0.5,4,148,0.02702702702702703,0.38598139534883724,0.513,0.38743636363636363,0.3833779220779221,0.35654137931034485,0.19299069767441862,0.37719627906976744,0.6224724137719293,similarity_score
RANSOMWARE,Ransomware,OG-WRL-015,Responsible for managing a portfolio of technology investments that align with the overall needs of mission and enterprise priorities.,OG,41,86,0.47674418604651164,3,148,0.02027027027027027,0.387409756097561,0.513,0.38811866666666667,0.38532533333333335,0.3568859649122807,0.1846953488372093,0.3599246511627907,0.5939697150190664,similarity_score
RANSOMWARE,Ransomware,OG-WRL-016,Responsible for conducting evaluations of technology programs or their individual components to determine compliance with published standards.,OG,41,86,0.47674418604651164,3,148,0.02027027027027027,0.387409756097561,0.513,0.38811866666666667,0.38532533333333335,0.3568859649122807,0.1846953488372093,0.3599246511627907,0.5939697150190664,similarity_score
RANSOMWARE,Ransomware,DD-WRL-009,"Responsible for working within the engineering department to design and create systems, processes, and procedures that maintain the safety, reliability, controllability and security of industrial systems in the face of intentional and incidental cyber events. Interfaces with Chief Information Security Officer, plant managers and industrial cybersecurity technicians.",DD,38,86,0.4418604651162791,7,148,0.0472972972972973,0.36999736842105263,0.4515,0.37541132075471695,0.34129245283018866,0.3808581395348837,0.1634872093023256,0.3305111627906977,0.5454297740907446,similarity_score
RANSOMWARE,Ransomware,PD-WRL-006,"Responsible for collecting, processing, analyzing, and disseminating cybersecurity threat assessments. Develops cybersecurity indicators to maintain awareness of the status of the highly dynamic operating environment.",PD,37,86,0.43023255813953487,5,148,0.033783783783783786,0.3904,0.5283,0.3915166666666667,0.34555238095238094,0.350209375,0.16796279069767442,0.3253246511627907,0.5368706747803234,similarity_score
RANSOMWARE,Ransomware,PD-WRL-002,Responsible for analyzing digital evidence from computer security incidents to derive useful information in support of system and network vulnerability mitigation.,PD,35,86,0.4069767441860465,14,148,0.0945945945945946,0.3936228571428571,0.4985,0.4010722222222223,0.2756277777777778,0.28455555555555556,0.1601953488372093,0.3082641860465116,0.5087164498044249,similarity_score
RANSOMWARE,Ransomware,IO-WRL-006,"Responsible for developing and analyzing the integration, testing, operations, and maintenance of systems security. Prepares, performs, and manages the security aspects of implementing and operating a system.",IO,35,86,0.4069767441860465,9,148,0.060810810810810814,0.38361428571428574,0.4552,0.3879791666666667,0.3562854166666667,0.4209744186046512,0.15612209302325583,0.30663488372093023,0.5060276752654235,similarity_score
RANSOMWARE,Ransomware,PD-WRL-005,Responsible for identifying and assessing the capabilities and activities of cybersecurity insider threats; produces findings to help initialize and support law enforcement and counterintelligence activities and investigations.,PD,35,86,0.4069767441860465,10,148,0.06756756756756757,0.3760857142857143,0.4667,0.3821804347826087,0.3291608695652174,0.3446625,0.15305813953488373,0.3054093023255814,0.5040051457449357,similarity_score
