scenario_id,scenario_name,work_role,work_role_name,category,covered_techniques,total_techniques,technique_coverage,covered_tasks,total_candidate_tasks,task_coverage,mean_mapping_score,max_mapping_score,mean_technique_similarity,mean_tactic_similarity,mean_mitigation_similarity,semantic_evidence,role_score,role_score_norm,score_column_used
DATA_EXFILTRATION,Data Exfiltration,OG-WRL-015,Responsible for managing a portfolio of technology investments that align with the overall needs of mission and enterprise priorities.,OG,8,15,0.5333333333333333,2,56,0.03571428571428571,0.3539,0.411,0.34875,0.3895571428571429,0.4188363636363636,0.18874666666666667,0.39549866666666667,0.5577945767046523,similarity_score
DATA_EXFILTRATION,Data Exfiltration,OG-WRL-016,Responsible for conducting evaluations of technology programs or their individual components to determine compliance with published standards.,OG,8,15,0.5333333333333333,2,56,0.03571428571428571,0.3539,0.411,0.34875,0.3895571428571429,0.4188363636363636,0.18874666666666667,0.39549866666666667,0.5577945767046523,similarity_score
DATA_EXFILTRATION,Data Exfiltration,PD-WRL-004,"Responsible for testing, implementing, deploying, maintaining, and administering infrastructure hardware and software for cybersecurity.",PD,7,15,0.4666666666666667,2,56,0.03571428571428571,0.3712714285714286,0.4247,0.36925,0.3268125,0.41135714285714287,0.17326,0.34930399999999995,0.4926435744104704,similarity_score
DATA_EXFILTRATION,Data Exfiltration,PD-WRL-007,"Responsible for assessing systems and networks to identify deviations from acceptable configurations, enclave policy, or local policy. Measure effectiveness of defense-in-depth architecture against known vulnerabilities.",PD,7,15,0.4666666666666667,2,56,0.03571428571428571,0.3498428571428572,0.3861,0.3423428571428571,0.4171142857142857,0.39561999999999997,0.16326000000000002,0.345304,0.4870021437436534,similarity_score
DATA_EXFILTRATION,Data Exfiltration,OG-WRL-012,"Responsible for conducting independent comprehensive assessments of management, operational, and technical security controls and control enhancements employed within or inherited by a system to determine their overall effectiveness.",OG,6,15,0.4,4,56,0.07142857142857142,0.37751666666666667,0.4298,0.37642,0.37632,0.3394,0.15100666666666665,0.30040266666666665,0.4236752040317424,similarity_score
DATA_EXFILTRATION,Data Exfiltration,PD-WRL-006,"Responsible for collecting, processing, analyzing, and disseminating cybersecurity threat assessments. Develops cybersecurity indicators to maintain awareness of the status of the highly dynamic operating environment.",PD,6,15,0.4,1,56,0.017857142857142856,0.3574833333333333,0.3976,0.3589166666666667,0.3602,0.34706000000000004,0.14299333333333333,0.2971973333333333,0.41915453759073296,similarity_score
DATA_EXFILTRATION,Data Exfiltration,OG-WRL-013,"Responsible for operating an information system at an acceptable level of risk to organizational operations, organizational assets, individuals, other organizations, and the nation.",OG,5,15,0.3333333333333333,1,56,0.017857142857142856,0.36258,0.4029,0.35831999999999997,0.39796,0.375575,0.12086,0.24834399999999998,0.3502538643800067,similarity_score
DATA_EXFILTRATION,Data Exfiltration,DD-WRL-004,"Responsible for the secure design, development, and testing of systems and the evaluation of system security throughout the systems development life cycle.",DD,4,15,0.26666666666666666,4,56,0.07142857142857142,0.35767499999999997,0.3866,0.34962,0.30176,0.35468,0.09537999999999999,0.198152,0.2794651923727857,similarity_score
DATA_EXFILTRATION,Data Exfiltration,OG-WRL-007,"Responsible for establishing vision and direction for an organization's cybersecurity operations and resources and their impact on digital and physical spaces. Possesses authority to make and execute decisions that impact an organization broadly, including policy approval and stakeholder engagement.",OG,3,15,0.2,2,56,0.03571428571428571,0.36643333333333333,0.3802,0.3620333333333334,0.3713,0.41235,0.07328666666666667,0.14931466666666665,0.21058708488472674,similarity_score
DATA_EXFILTRATION,Data Exfiltration,DD-WRL-003,"Responsible for developing, creating, modifying, and maintaining computer applications, software, or specialized utility programs.",DD,3,15,0.2,3,56,0.05357142857142857,0.3635333333333333,0.4042,0.36576666666666663,0.3847333333333333,0.3436,0.07270666666666667,0.14908266666666667,0.21025988190605138,similarity_score
